id,osmid,name,alt_name,light_pol,lat,lng
38,2036856,Old Ridge Park,Old Ridge Park,15.6213622,43.62450478,-79.72858173
39,2036857,Unknown,St. Veronica Elementary School,34.09287556,43.63120858,-79.71575472
40,2098322,Bluffer's Park,Bluffer's Park,14.22000027,43.70782362,-79.23553575
41,2098386,Alex Robertson Park,Alex Robertson Park,16.1050005,43.81521539,-79.07304694
42,2098388,Rotary Park,Rotary Park,7.72999986,43.811244,-79.09658184
43,2098389,Beachfront Park,Beachfront Park,12.19000006,43.81237963,-79.08172824
44,2203553,Dixie Woods Park,Dixie Woods Park,52.31999969,43.61964113,-79.60001837
45,2203554,Kennedy Park,Kennedy Park,40.18999863,43.61749661,-79.5995295
46,2268394,Hnatyshyn Park,Hnatyshyn Park,93.07269817,46.49348938,-80.99034263
47,2268747,Unknown,Junction Creek Trail,59.71783184,46.49504633,-80.9886007
48,2269996,Unknown,Boo-Bah-Lou 2,81.15022422,46.48966156,-80.99488907
49,2279221,Queen's Athletic Field,Queen's Athletic Field,47.16876258,46.49169898,-81.00621999
50,2301765,Unknown,Nolin Creek Trail,17.34652767,46.49881605,-81.01442065
51,2301767,Unknown,Nolin Creek Trail,25.49711146,46.49926759,-81.00981828
52,2303693,Unknown,Sudbury Construction Association,30.45443037,46.49869978,-81.00670742
53,2310151,Unknown,152 Bloor Street,42.71305437,46.49970142,-81.00192635
54,2319199,Unknown,159 Louis Street,67.47000122,46.49497086,-80.99059171
55,2319201,Unknown,344 Lagace Street,47.33524024,46.50104918,-80.98534921
56,2342583,Memorial Park,Memorial Park,95.6792678,46.49022447,-80.99257772
57,2342637,Tom Davies Square,Tom Davies Square,92.93722957,46.49035015,-80.99035931
58,2359004,Unknown,200 Larch Street,77.83176591,46.49186703,-80.98920484
59,2361609,Unknown,293 Charette Street,77.55000305,46.49312722,-80.98654327
60,2365522,Eyre Playground,Eyre Playground,36.79999924,46.49822052,-80.96405359
61,2377359,Unknown,179 Brady Street,74.4018876,46.4892738,-80.98947505
62,2471050,Joan Sutherland Park,Joan Sutherland Park,27.51047771,44.02922697,-79.80192541
63,2579666,Unknown,534 Willard Avenue,18.74923733,46.48548232,-81.01504502
64,2592588,Unknown,Foxhollow Drive,3.58375001,42.97284244,-81.03425684
65,2636983,Pinafore Park,Pinafore Park,13.13666693,42.76001892,-81.18894734
66,2915591,Unknown,Saint Jean de Brebeuf,55.5735088,46.50216555,-80.98775908
67,2917550,Unknown,453 Cochrane Street,32.82732778,46.49470572,-80.98126071
68,2928459,Sunrise Ridge Neighbourhood Playground,Sunrise Ridge Neighbourhood Playground,24.47787416,46.49762153,-80.98035128
69,2928764,Unknown,460 Attlee Avenue,43.5,46.50890268,-80.94924456
70,2928766,Adanac Ski Hill,Adanac Ski Hill,11.69777657,46.50890125,-80.96053004
71,2928771,Rotary Park,Rotary Park,12.46713787,46.51082293,-80.96042327
72,2956924,Unknown,Mabel Avenue,32.33000183,46.50259424,-80.99843124
73,2957347,O'Connor Park,O'Connor Park,51.36000061,46.50549929,-80.99132861
74,2962013,Flour Mill Museum,Flour Mill Museum,51.93999863,46.50660159,-80.98771487
75,2962490,Unknown,Notre Dame Boys,51.93999863,46.50844654,-80.98703835
76,2967967,Percy Park,Percy Park,29.0335835,46.50704535,-80.98132957
77,2979287,Unknown,Minnow Lake Conservation Area,17.69341416,46.49415161,-80.95295389
78,2979735,Unknown,Minnow Lake Place,26.71159378,46.49496828,-80.95957491
79,2980927,Off-Leash Dog Park,Off-Leash Dog Park,68.86108948,46.50147035,-80.93661346
80,2997460,Grotto of Our Lady of Lourdes,Grotto of Our Lady of Lourdes,78.16868713,46.48710513,-80.98690545
81,3006066,Unknown,427 Morris Street,28.79999924,46.48442158,-80.98213934
82,3075796,Unknown,38 Domenico Street,43.06000137,46.48242752,-81.05872951
83,3075811,Unknown,4 Venice Street,69.53976594,46.4801062,-81.0594952
84,3086739,Diorite Playground,Diorite Playground,30.48986524,46.47971862,-81.06520465
85,3138871,Victory Park,Victory Park,25.19648764,46.5049586,-81.00655935
86,3144178,Unknown,833 Burton Avenue,19.04000092,46.50967619,-81.00466929
87,3145856,Ryan Heights Playground,Ryan Heights Playground,53.24000168,46.5078289,-80.99301258
88,3157838,Unknown,1273 Gemmell Street,26.10000038,46.51200417,-80.94923234
89,3162510,Optimist Harbourview Park,Optimist Harbourview Park,31.9800005,44.50426385,-80.22785942
90,3181466,Adamsdale Playground,Adamsdale Playground,25.44302168,46.49717703,-80.93491961
91,3183454,Bancroft Waterfront Park,Bancroft Waterfront Park,16.58314203,46.49372947,-80.95403686
92,3183455,Unknown,Carmichael Community Centre,13.79130688,46.49030353,-80.95628934
93,3183457,Unknown,19 Glen Avenue,14.46000004,46.49055696,-80.95327201
94,3201331,Bobbie Rosenfeld Park,Bobbie Rosenfeld Park,105.3899994,43.64186177,-79.38735907
95,3277269,Unknown,20 Balsam Street,29.61000061,46.47390897,-81.06703199
96,3277375,Unknown,Subway Street,29.02000046,46.47771256,-81.06567074
97,3349196,Unknown,Creighton Road,17.51072655,46.47615631,-81.07169032
98,3359975,Unknown,Power & Godfrey,20.20037145,46.47312244,-81.06915764
99,3385852,Shoreview park,Shoreview park,17.22999954,44.39617751,-79.65446421
100,3444526,Hockley Valley Provincial Park,Hockley Valley Provincial Park,0.609583332,43.98638117,-80.062584
101,3541152,Unknown,21 Park Street,13.34000015,46.4781411,-81.06989242
102,3551941,Meatbird Park,Meatbird Park,1.992636387,46.45036883,-81.15078782
103,3556682,Unknown,Cambrian Arena,45.05139755,46.51053054,-80.99237206
104,3556859,Unknown,17 Lasalle Boulevard,18.16354532,46.51509276,-80.99746618
105,3558125,Selkirk Park,Selkirk Park,19.9044348,46.51052385,-81.00044103
106,3568985,Unknown,Lasalle Boulevard,31.77660594,46.52244653,-80.98602304
107,3571089,McLean Playground,McLean Playground,36.99000168,46.52092832,-80.97836807
108,3603559,Westmount Playground,Westmount Playground,41.70772544,46.51078861,-80.94071685
109,3635256,Unknown,404 McNaughton Terrace,28.79999924,46.48254499,-80.98271992
110,3740296,Fielding Memorial Park,Fielding Memorial Park,6.905629587,46.42720797,-81.09490715
111,3781548,Davis Centre Quad,Davis Centre Quad,99.09999847,43.47248575,-80.54310515
112,3810768,Parkview Gardens Parkette,Parkview Gardens Parkette,33.34999847,43.65344834,-79.46942885
113,3816365,Blackfriar Park,Blackfriar Park,63.84999847,43.69502423,-79.5623893
114,3896308,Summerhill Park,Summerhill Park,30.52406363,46.51167197,-80.93139205
115,3902260,Nickel District Park,Nickel District Park,40.89268886,46.51821943,-80.92741961
116,3902377,Grassy Hill Park,Grassy Hill Park,38.75999832,46.51646904,-80.92932576
117,3933582,Pier 4 Park,Pier 4 Park,20.79413464,43.27326438,-79.86714316
118,3989810,East End Playground,East End Playground,14.35341738,46.48986706,-80.91111645
119,4009662,Autumnwood Playground,Autumnwood Playground,13.48624042,46.49139746,-80.92413462
120,4010797,Grace Sprots Field,Grace Sprots Field,20.23789529,46.48922651,-80.92980635
121,4059170,Korpela Park,Korpela Park,18.22011737,46.48541531,-80.93358778
122,4084205,Ridgemount Playground,Ridgemount Playground,14.02000046,46.49140982,-80.90094487
123,4133450,Dorset Tot Lot,Dorset Tot Lot,13.1235286,46.48657973,-80.91510154
124,4187898,Moonlight Beach Park,Moonlight Beach Park,2.240111329,46.47458825,-80.90936437
125,4187923,Camp Sudaca,Camp Sudaca,2.569999933,46.47148033,-80.91202057
126,4192851,Unknown,304 Lodor Street,19.75,43.22467193,-79.97569706
127,4799841,Underpass Park,Underpass Park,82.37999725,43.65565737,-79.35486936
128,5125534,Glen Elm,Glen Elm,46.86485982,43.49126178,-80.54271919
129,5500344,Victoria Park,Victoria Park,38.18873203,44.57042951,-80.9343798
130,5583949,Pottawatomi Conservation Area,Pottawatomi Conservation Area,10.26749997,44.56423195,-80.98044638
131,5694808,West Rocks Management Area,West Rocks Management Area,8.634285791,44.55529824,-80.95586644
132,5844478,Wasaga Beach Provincial Park,Wasaga Beach Provincial Park,4.155555525,44.51212436,-80.04139974
133,6046892,Queen's Park,Queen's Park,56.69410521,44.56457104,-80.94446161
134,6398338,Harrison Park,Harrison Park,5.442000008,44.54845502,-80.93604868
135,6552609,Jackson Park,Jackson Park,8.670000076,44.31508421,-78.34612325
136,6560328,Fisher Heights Park,Fisher Heights Park,22.27896524,45.36502501,-75.72113415
137,6845839,Unknown,1182 Priory Court,23.96763903,43.44503526,-79.71349044
138,6906683,Unknown,204 Hawthorne Street,20.9057214,43.97469539,-79.23926619
139,7156257,Madoc Memorial Park,Madoc Memorial Park,9.1987735,44.50554857,-77.46875827
140,7408581,Indian Falls Conservation Area,Indian Falls Conservation Area,0.900000036,44.62077201,-80.95060121
141,7824070,Fitzroy Harbour Community Centre and Campbell Bicentennial Park,Fitzroy Harbour Community Centre and Campbell Bicentennial Park,2.292311176,45.46959068,-76.20603815
142,7824353,Fallingbrook Park,Fallingbrook Park,38.88144845,45.48191853,-75.4897753
143,7824373,Apollo Crater Park,Apollo Crater Park,41.08331658,45.47605903,-75.48838529
144,7824481,Father Richard Ward Park,Father Richard Ward Park,32.1731983,45.46982992,-75.55006291
145,7824816,Bilberry Park,Bilberry Park,39.29734572,45.47824802,-75.52986606
146,7824835,Terry Fox Participark,Terry Fox Participark,31.8299384,45.47584214,-75.53836249
147,7824883,Pierre Rocque Park,Pierre Rocque Park,43.71164152,45.47520267,-75.52538446
148,7826918,Fairmile Estates Park,Fairmile Estates Park,1.498755482,45.06566677,-75.66224032
149,7827176,Houlahan Park,Houlahan Park,27.13288641,45.26720528,-75.76078152
150,7827845,David Bartlett Park,David Bartlett Park,4.578386617,45.24474568,-75.69988875
151,7829562,Malvern Park,Malvern Park,26.76812618,45.28084318,-75.76130773
152,7829939,Chamberlain Park,Chamberlain Park,47.17081172,45.40621038,-75.69557169
153,7830078,Patterson's Creek Park,Patterson's Creek Park,52.50912132,45.4073943,-75.68465372
154,7830079,Central Park,Central Park,67.30127435,45.406649,-75.69170741
155,7830114,Bronson Park,Bronson Park,75.20499256,45.41773275,-75.71047837
156,7830282,Rose Park,Rose Park,67.54000092,45.43494351,-75.68844866
157,7830362,Lindenlea Park,Lindenlea Park,27.78147048,45.44457561,-75.67539379
158,7968375,Remington Booster Park,Remington Booster Park,28.45883884,42.28545229,-83.00469428
159,7986791,Duncan Creek Park,Duncan Creek Park,43.79999924,43.80085681,-79.35461686
160,8030845,Jeff Healey Park,Jeff Healey Park,36.59999847,43.6303474,-79.49535151
161,8135075,Ashton Meadows Park,Ashton Meadows Park,39.80913583,43.87306875,-79.36194024
162,8143385,Graduate House Green,Graduate House Green,99.09999847,43.46987064,-80.54124245
163,8207791,Unknown,20 Ludolph Street,21.41292285,43.38516828,-80.49626222
164,8243939,Optimist Park,Optimist Park,20.03000069,45.43727591,-76.34461523
165,8465748,Assumption Park;Windsor Sculpture Park,Assumption Park;Windsor Sculpture Park,41.70552818,42.31063226,-83.06870898
166,8465779,Centennial Park,Centennial Park,38.06294657,42.31642147,-83.05478508
167,8465780,Dieppe Gardens,Dieppe Gardens,76.19140299,42.31956166,-83.04267169
168,8465781,Civic Terrace,Civic Terrace,132.9623246,42.32057103,-83.03796859
169,8467325,Great Western Park,Great Western Park,67.19971973,42.32251648,-83.0292755
170,8480049,Unknown,Temiskaming Shores,4.465205168,47.54434743,-79.66973228
171,8480050,Dymond Recreation Park,Dymond Recreation Park,4.465205168,47.54434743,-79.66973228
172,8708295,Spitfire Memorial & Essex Train Station Park,Spitfire Memorial & Essex Train Station Park,31.79355745,42.17593435,-82.82154083
173,8737943,Rotary Park,Rotary Park,19.31274603,44.31295229,-78.31358645
174,9062632,RIM Park,RIM Park,15.57399998,43.51716335,-80.49998295
175,9177444,Talbot Park,Talbot Park,35.29246856,42.9333879,-81.3043514
176,3772706,Peche Island,Peche Island,5.914999962,42.34600178,-82.92660226
177,3994364,Diamond 1,Diamond 1,27.02327411,43.38911576,-80.29516077
178,3994365,Diamond 2,Diamond 2,26.96999931,43.38837968,-80.29464448
179,3994377,Unknown,Clemens Mill Public School,25.01772171,43.38849465,-80.293203
180,4019644,Unknown,286 Sekura Street,59.70999908,43.3858622,-80.31737104
181,4063882,Unknown,1871 Rideau Garden Drive,31.00714492,45.40191081,-75.67009727
182,4075937,Weaver Park,Weaver Park,26.37999916,43.41955925,-80.3156955
183,4083175,Woodland Park,Woodland Park,25.45958765,43.42876156,-80.30622298
184,4083176,Forbes Park,Forbes Park,28.95279349,43.43096603,-80.30749291
185,4300643,Christie Pits Park,Christie Pits Park,45.05649292,43.66468,-79.42085321
186,4321327,Queen's Park (North),Queen's Park (North),88.57943121,43.66462867,-79.39235971
187,4322067,Sandy Hill Park,Sandy Hill Park,56.53204894,45.42225225,-75.67720425
188,4879636,Garrigan Park,Garrigan Park,19.67379172,44.22329048,-76.5190045
189,4879645,Churchill Park,Churchill Park,20.79999924,44.23318377,-76.50791789
190,4879650,Memorial Centre,Memorial Centre,25.29960557,44.23996879,-76.50007285
191,4879664,City Park,City Park,34.6669896,44.22545753,-76.48886943
192,4916826,Oakridge Park,Oakridge Park,18.05073254,44.22763502,-76.51188701
193,4917128,Compton Park,Compton Park,21.45562007,44.23468811,-76.51080846
194,4986590,Max Jackson Memorial Park,Max Jackson Memorial Park,21.37000084,44.25099703,-76.50326267
195,4986744,Ronald Lavallee Memorial Kiwanis Park,Ronald Lavallee Memorial Kiwanis Park,17.81999969,44.2460581,-76.50035834
196,4986752,Third Avenue Park,Third Avenue Park,21.80111739,44.24518458,-76.50536573
197,5001616,Burnett Park,Burnett Park,26.42198123,45.27744601,-75.76002667
198,5001721,Weybridge Park,Weybridge Park,23.67063699,45.26998461,-75.76942772
199,5001750,Redpine Park,Redpine Park,21.39455562,45.34942098,-75.7218635
200,5001763,Borden Farm Park,Borden Farm Park,31.64275487,45.34713805,-75.72184751
201,5003644,Raoul Wallenberg Park,Raoul Wallenberg Park,21.72449367,45.35084582,-75.71332929
202,5004668,Gilbey Park,Gilbey Park,59.00866686,45.3592992,-75.73290614
203,5004823,Nepean Creek Park,Nepean Creek Park,27.27333323,45.34720706,-75.71191457
204,5041632,Victoria Park,Victoria Park,31.01951537,44.23351914,-76.49878383
205,5045515,Lawrence Park,Lawrence Park,5.190000057,44.24464431,-76.61762043
206,5045516,Highgate Park,Highgate Park,7.619999886,44.24869025,-76.60715845
207,5045518,Comrade W. C. Warnica Memorial Park,Comrade W. C. Warnica Memorial Park,8.010000229,44.24438434,-76.60350867
208,5048962,Centennial Park,Centennial Park,6.059999943,44.22491072,-76.63688343
209,5048970,Eastside Park,Eastside Park,5.559999943,44.22600576,-76.63261881
210,5048977,Unknown,Willie Pratt Sports Field,5.5776921,44.2268369,-76.63993693
211,5050239,Jorene Park,Jorene Park,3.622209002,44.21303035,-76.57382641
212,5050241,Unknown,925 Percy Crescent,4.889999866,44.22011967,-76.58360574
213,5050243,Unknown,898 Henderson Boulevard,8.760000229,44.22875081,-76.58280657
214,5050244,Unknown,Lakeshore Swimming Pool Association,9.529999733,44.22895664,-76.57828412
215,5050274,Trillium Park,Trillium Park,17.9872528,44.252066,-76.55092862
216,5052866,Unknown,6 Wagner Street,2.257720776,44.31822382,-76.5011867
217,5059123,Somerset Park,Somerset Park,17.98895695,44.25064187,-76.57711251
218,5059185,Ashton Park,Ashton Park,16.97437812,44.24548771,-76.5810489
219,5059191,Unknown,953 Hudson Drive,12.95431098,44.24315592,-76.58607265
220,5059194,Unknown,897 Pembridge Crescent,13.14241248,44.24415787,-76.58503046
221,5059218,Bexleygate Park,Bexleygate Park,26.66393767,44.25322334,-76.56150727
222,5062595,Bayridge Park,Bayridge Park,15.89612247,44.24789103,-76.59182513
223,5078499,Cataraqui Woods Park,Cataraqui Woods Park,17.40212163,44.26419516,-76.57963748
224,5085062,Hardy Park,Hardy Park,31.17402657,44.58619924,-75.68503228
225,5106925,McCollough Park,McCollough Park,23.4238839,44.23663156,-76.53063599
226,5106927,Boucher Park,Boucher Park,47.43999863,44.22968879,-76.48265212
227,5109460,Unknown,37 Dalgleish Avenue,10.44344274,44.26029302,-76.45581718
228,5109461,Richdale Park,Richdale Park,10.35000038,44.25849024,-76.45415048
229,5109462,Unknown,54 Rose Abbey Drive,7.610000134,44.25937576,-76.45009774
230,5109487,Unknown,130 Greenlees Drive,12.21015646,44.26472383,-76.45429603
231,5109501,Greenwood Park,Greenwood Park,14.54103564,44.26637253,-76.44832445
232,5198367,Ben Franklin Park East,Ben Franklin Park East,17.36162273,45.32465136,-75.76971169
233,5198368,Ben Franklin Park West,Ben Franklin Park West,30.67648109,45.32391596,-75.77427027
234,5198418,Arlington Woods Park,Arlington Woods Park,15.06919302,45.32202502,-75.78612397
235,5198428,Bateman Park,Bateman Park,27.85028546,45.32764345,-75.77393694
236,5208796,Pinecrest Recreation Complex and Park,Pinecrest Recreation Complex and Park,29.7577665,45.34991062,-75.77461785
237,5219383,Unknown,37A Queenston Hts,8.5,44.2348401,-76.45321415
238,5219388,Unknown,1A Niagara Park,19.58011956,44.23609187,-76.45212056
239,5219390,Unknown,33 Cassino Court,17.52000046,44.23769091,-76.44220429
240,5231447,Dominion Arboretum,Dominion Arboretum,20.27499962,45.39094088,-75.70479967
241,5234560,The Triangle,The Triangle,21.61000061,44.22134215,-76.51892908
242,5368301,Garden Walk Park,Garden Walk Park,12.22941855,44.25465094,-76.59690259
243,5368317,Dunham Park,Dunham Park,8.551622983,44.25527268,-76.60283617
244,5368322,Unknown,921 Oakview Avenue,16.29000092,44.24876834,-76.58785309
245,5368341,Bridlepath Park,Bridlepath Park,12.48999977,44.25372583,-76.59075502
246,5368504,Confederation Park,Confederation Park,46.09999847,44.22950554,-76.47965632
247,5562008,Curran Hall Ravine,Curran Hall Ravine,29.87899078,43.76641032,-79.21179668
248,5565425,Wanita Park,Wanita Park,19.56620826,43.7772935,-79.1548003
249,5565532,Guild Park and Gardens,Guild Park and Gardens,19.75333373,43.74610926,-79.19203137
250,5686871,Grange Park,Grange Park,83.02544292,43.65240825,-79.39218104
251,5799159,Unknown,84 Lingarde Drive,32.20999908,43.73905528,-79.29622043
252,5907167,Mulligan Park,Mulligan Park,24.1690362,45.29199264,-75.7360417
253,5907291,Wexford Park,Wexford Park,43.15457415,43.73423999,-79.29670075
254,5907299,Totteridge Park,Totteridge Park,22.25,45.28244218,-75.73648247
255,5907362,Finchley Park,Finchley Park,21.39999962,45.2785292,-75.72990747
256,5907377,Tierney Park,Tierney Park,36.4540754,45.27634005,-75.72332579
257,5908291,Edge Park,Edge Park,79.10640424,43.7173663,-79.29765528
258,5941201,Trinity Bellwoods Park,Trinity Bellwoods Park,56.49999809,43.64780495,-79.41431446
259,5941460,Fred Hamilton Playground,Fred Hamilton Playground,47.36880344,43.65297682,-79.42024049
260,6694662,St. Patrick's Square,St. Patrick's Square,88.86000061,43.65069881,-79.3906552
261,7769118,Forestry Island,Forestry Island,9.367670725,43.61819366,-79.37868211
262,7769119,Unknown,Island Water Treatment Plant,8.290183266,43.61538263,-79.38570108
263,7769123,Unknown,45 Avenue Of The Islands,8.483931214,43.62254014,-79.3745285
264,7769124,Unknown,Sunfish Cut,7.05938579,43.62411551,-79.36415949
265,7769131,Unknown,Chippewa Avenue,6.838412571,43.62243198,-79.36551316
266,7769132,Unknown,Royal Canadian Yacht Club,6.680019189,43.62329244,-79.36559507
267,7769139,Centre Island Park,Centre Island Park,9.076666514,43.62163842,-79.37800183
268,7769140,Unknown,Centreville,8.225017938,43.61936349,-79.37301188
269,7829865,Leslie Park,Leslie Park,21.78057584,45.33465425,-75.78808685
270,7829959,Craig Henry Park,Craig Henry Park,23.22773497,45.33379973,-75.77716997
271,7913126,Jean Sibelius Square,Jean Sibelius Square,51.13999939,43.67143981,-79.40879423
272,7969155,Clarence Square,Clarence Square,100.8351618,43.64414064,-79.39366647
273,8008958,Aura Lee Playing Field,Aura Lee Playing Field,60.40999985,43.66541965,-79.40446756
274,8043787,Bruce Pit,Bruce Pit,15.68999998,45.32353835,-75.79885946
275,8095895,Queen's Park (South),Queen's Park (South),77.94000244,43.66132716,-79.39101943
276,8103403,Gwendolyn MacEwen Park,Gwendolyn MacEwen Park,55.61305503,43.66869895,-79.4062565
277,8103407,St. Alban's Square,St. Alban's Square,54.52591169,43.66855191,-79.41047271
278,8111517,Vermont Square Park,Vermont Square Park,53.1852221,43.67049272,-79.41531424
279,8117860,Sir Wilfrid Laurier Park,Sir Wilfrid Laurier Park,59.15000153,45.4276575,-75.678869
280,8119654,Jesse Ketchum Park,Jesse Ketchum Park,102.5999985,43.6723932,-79.39188858
281,8119664,Paul Martel Park,Paul Martel Park,60.40999985,43.6675484,-79.40321329
282,8162630,Highland Creek Ravine,Highland Creek Ravine,25.78500004,43.77346307,-79.15715495
283,8603882,Clarke Fields Park,Clarke Fields Park,23.89613857,45.26139259,-75.76986659
284,9153060,Dovercourt Park,Dovercourt Park,36.33286351,43.66517931,-79.43350708
285,9153079,Unknown,11 Westmoreland Avenue,43.00999832,43.66155085,-79.43034794
286,10159308,Waterdown Memorial Park,Waterdown Memorial Park,37.59720312,43.33661289,-79.9015607
287,10160062,Sealy Park,Sealy Park,26.65252756,43.33100309,-79.88959941
288,10215179,Gatesbury Park,Gatesbury Park,20.42185627,43.34244354,-79.88698588
289,10376383,Central Park,Central Park,59.01578596,43.26357518,-79.87312575
290,10376678,Victoria Park,Victoria Park,43.61914621,43.26283504,-79.88366089
291,10376982,Gage Park,Gage Park,38.14065896,43.24137266,-79.82854776
292,10427335,Eastwood Park,Eastwood Park,30.41220669,43.27271299,-79.85539707
293,10580783,Inverness Park,Inverness Park,18.8840851,45.35891427,-75.72228335
294,10616030,Clarke Memorial Centre,Clarke Memorial Centre,39.20113733,45.38387985,-75.68269881
295,10616385,Gore Park,Gore Park,112.5299988,43.2559599,-79.86730532
296,10616390,Gore Park,Gore Park,105.7476396,43.25630737,-79.8685381
297,10656366,Shamrock Park,Shamrock Park,68.57310799,43.25089361,-79.86394758
298,10656374,Shamrock Park,Shamrock Park,72.4412975,43.25033299,-79.86455957
299,10742344,Wenderly Park,Wenderly Park,74.69173264,43.71165538,-79.44649547
300,10742350,Nicol MacNicol Parkette,Nicol MacNicol Parkette,44.38000107,43.70409439,-79.43286201
301,10905332,Unknown,Central Heating Plant - Queen's University & KGH,14.40830177,44.22233153,-76.49374971
302,11995216,Megan Road Park,Megan Road Park,35.06344919,43.77426722,-79.17333195
303,13408972,Unknown,536 Citation Crescent,9.657944653,44.23560787,-76.59663472
304,13719670,Unknown,600 Mona Drive,8.651801978,44.24552508,-76.60150109
305,13719682,Hillview Park,Hillview Park,8.760000229,44.24597514,-76.59920573
306,13719878,Unknown,427 Kirkwood Road,27.88749906,44.23207864,-76.57230158
307,13728617,Lafleur Park,Lafleur Park,25.92348391,44.23913845,-76.52410135
308,13728831,Unknown,34 Strathcona Crescent,20.61264663,44.25130431,-76.52677687
309,13728961,Bill Hackett Park,Bill Hackett Park,15.1494242,44.25778531,-76.52894525
310,13729024,Unknown,268 Old Quarry Road,16.72827569,44.25637129,-76.52477068
311,13733736,Lake Ontario Park,Lake Ontario Park,23.4529946,44.21758619,-76.53125831
312,13799366,June Rowlands Park,June Rowlands Park,42.77959142,43.70070513,-79.38853294
313,13812833,David A. Balfour Park,David A. Balfour Park,33.27319665,43.68649076,-79.38709877
314,13859160,Unknown,Pleasant Public School,48.28944425,43.79141596,-79.4352096
315,13867012,Margaret Fairley Park,Margaret Fairley Park,60.02130597,43.66031023,-79.40560058
316,14087716,Crerar Park,Crerar Park,5.539999962,44.21316398,-76.56747155
317,14087862,Keyes Park,Keyes Park,4.291022758,44.21040697,-76.56473723
318,14087971,Unknown,222 Alwington Place,12.83470496,44.21874401,-76.51121334
319,14088204,Unknown,39 Concession Street,24.62999916,44.24228095,-76.49685518
320,14088600,Unknown,23 Douglas Avenue,30.75,44.25386916,-76.50429617
321,14088976,Unknown,892 Division Street,33.17570579,44.25674068,-76.49777022
322,14089041,Ken Matthews Park,Ken Matthews Park,32.65000153,44.25677113,-76.49998458
323,14089537,Unknown,Rideau Heights Community Centre,16.09731327,44.26415842,-76.48414407
324,14090349,Everitt Park,Everitt Park,3.619999886,44.21216785,-76.57631411
325,14161609,Meadowbrook Park,Meadowbrook Park,11.31997475,44.24681777,-76.54416717
326,14274534,Charlottetown Park,Charlottetown Park,30.7859832,43.78116981,-79.14037754
327,14344414,High Park,High Park,23.66500015,43.64604946,-79.46335487
